Row ID,Order ID,Order Date,Ship Mode,Customer ID,Product ID,Category,Sub-Category,Product Name,Quantity,Sales
1,CA-2016-152156,11/8/2016,Second Class,CG-12520,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,2,$261.96 
2,CA-2016-152156,11/8/2016,Second Class,CG-12520,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",3,$731.94 
3,CA-2016-138688,6/12/2016,Second Class,DV-13045,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,2,$14.62 
4,US-2015-108966,10/11/2015,Standard Class,SO-20335,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,5,$957.58 
5,US-2015-108966,10/11/2015,Standard Class,SO-20335,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,2,$22.37 
6,CA-2014-115812,6/9/2014,Standard Class,BH-11710,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",7,$48.86 
7,CA-2014-115812,6/9/2014,Standard Class,BH-11710,OFF-AR-10002833,Office Supplies,Art,Newell 322,4,$7.28 
8,CA-2014-115812,6/9/2014,Standard Class,BH-11710,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,6,$907.15 
9,CA-2014-115812,6/9/2014,Standard Class,BH-11710,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,3,$18.50 
10,CA-2014-115812,6/9/2014,Standard Class,BH-11710,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,5,$114.90 
11,CA-2014-115812,6/9/2014,Standard Class,BH-11710,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,9,"$1,706.18 "
12,CA-2014-115812,6/9/2014,Standard Class,BH-11710,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,4,$911.42 
13,CA-2017-114412,4/15/2017,Standard Class,AA-10480,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,3,$15.55 
14,CA-2016-161389,12/5/2016,Standard Class,IM-15070,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,3,$407.98 
15,US-2015-118983,11/22/2015,Standard Class,HP-14815,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",5,$68.81 
16,US-2015-118983,11/22/2015,Standard Class,HP-14815,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,3,$2.54 
17,CA-2014-105893,11/11/2014,Standard Class,PK-19075,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",6,$665.88 
18,CA-2014-167164,5/13/2014,Second Class,AG-10270,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,2,$55.50 
19,CA-2014-143336,8/27/2014,Second Class,ZD-21925,OFF-AR-10003056,Office Supplies,Art,Newell 341,2,$8.56 
20,CA-2014-143336,8/27/2014,Second Class,ZD-21925,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,3,$213.48 
21,CA-2014-143336,8/27/2014,Second Class,ZD-21925,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",4,$22.72 
22,CA-2016-137330,12/9/2016,Standard Class,KB-16585,OFF-AR-10000246,Office Supplies,Art,Newell 318,7,$19.46 
23,CA-2016-137330,12/9/2016,Standard Class,KB-16585,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",7,$60.34 
24,US-2017-156909,7/16/2017,Second Class,SF-20065,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",2,$71.37 
25,CA-2015-106320,9/25/2015,Standard Class,EB-13870,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,3,"$1,044.63 "
26,CA-2016-121755,1/16/2016,Second Class,EH-13945,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,2,$11.65 
27,CA-2016-121755,1/16/2016,Second Class,EH-13945,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,3,$90.57 
28,US-2015-150630,9/17/2015,Standard Class,TB-21520,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",7,"$3,083.43 "
29,US-2015-150630,9/17/2015,Standard Class,TB-21520,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,2,$9.62 
30,US-2015-150630,9/17/2015,Standard Class,TB-21520,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",3,$124.20 
31,US-2015-150630,9/17/2015,Standard Class,TB-21520,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,2,$3.26 
32,US-2015-150630,9/17/2015,Standard Class,TB-21520,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",6,$86.30 
33,US-2015-150630,9/17/2015,Standard Class,TB-21520,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6,$6.86 
34,US-2015-150630,9/17/2015,Standard Class,TB-21520,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,2,$15.76 
35,CA-2017-107727,10/19/2017,Second Class,MA-17560,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,3,$29.47 
36,CA-2016-117590,12/8/2016,First Class,GH-14485,TEC-PH-10004977,Technology,Phones,GE 30524EE4,7,"$1,097.54 "
37,CA-2016-117590,12/8/2016,First Class,GH-14485,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",5,$190.92 
38,CA-2015-117415,12/27/2015,Standard Class,SN-20710,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",9,$113.33 
39,CA-2015-117415,12/27/2015,Standard Class,SN-20710,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",3,$532.40 
40,CA-2015-117415,12/27/2015,Standard Class,SN-20710,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",3,$212.06 
41,CA-2015-117415,12/27/2015,Standard Class,SN-20710,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,4,$371.17 
42,CA-2017-120999,9/10/2017,Standard Class,LC-16930,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,4,$147.17 
43,CA-2016-101343,7/17/2016,Standard Class,RA-19885,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",2,$77.88 
44,CA-2017-139619,9/19/2017,Standard Class,ES-14080,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",2,$95.62 
45,CA-2016-118255,3/11/2016,First Class,ON-18715,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",2,$45.98 
46,CA-2016-118255,3/11/2016,First Class,ON-18715,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,2,$17.46 
47,CA-2014-146703,10/20/2014,Second Class,PO-18865,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",4,$211.96 
48,CA-2016-169194,6/20/2016,Standard Class,LH-16900,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,3,$45.00 
49,CA-2016-169194,6/20/2016,Standard Class,LH-16900,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",2,$21.80 
50,CA-2015-115742,4/18/2015,Standard Class,DP-13000,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",6,$38.22 
51,CA-2015-115742,4/18/2015,Standard Class,DP-13000,OFF-LA-10002762,Office Supplies,Labels,Avery 485,6,$75.18 
52,CA-2015-115742,4/18/2015,Standard Class,DP-13000,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,2,$6.16 
53,CA-2015-115742,4/18/2015,Standard Class,DP-13000,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",1,$89.99 
54,CA-2016-105816,12/11/2016,Standard Class,JM-15265,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,7,$15.26 
55,CA-2016-105816,12/11/2016,Standard Class,JM-15265,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,5,"$1,029.95 "
56,CA-2016-111682,6/17/2016,First Class,TB-21055,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,6,$208.56 
57,CA-2016-111682,6/17/2016,First Class,TB-21055,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,5,$32.40 
58,CA-2016-111682,6/17/2016,First Class,TB-21055,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,5,$319.41 
59,CA-2016-111682,6/17/2016,First Class,TB-21055,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",2,$14.56 
60,CA-2016-111682,6/17/2016,First Class,TB-21055,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,2,$30.00 
61,CA-2016-111682,6/17/2016,First Class,TB-21055,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,4,$48.48 
62,CA-2016-111682,6/17/2016,First Class,TB-21055,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1,$1.68 
63,CA-2015-135545,11/24/2015,Standard Class,KM-16720,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",2,$13.98 
64,CA-2015-135545,11/24/2015,Standard Class,KM-16720,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",6,$25.82 
65,CA-2015-135545,11/24/2015,Standard Class,KM-16720,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,3,$146.73 
66,CA-2015-135545,11/24/2015,Standard Class,KM-16720,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,4,$79.76 
67,US-2015-164175,4/30/2015,Standard Class,PS-18970,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",5,$213.12 
68,CA-2014-106376,12/5/2014,Standard Class,BS-11590,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",8,"$1,113.02 "
69,CA-2014-106376,12/5/2014,Standard Class,BS-11590,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,4,$167.97 
70,CA-2016-119823,6/4/2016,First Class,KD-16270,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",2,$75.88 
71,CA-2016-106075,9/18/2016,Standard Class,HM-14980,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,1,$4.62 
72,CA-2017-114440,9/14/2017,Second Class,TB-21520,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",3,$19.05 
73,US-2015-134026,4/26/2015,Standard Class,JE-15745,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,8,$831.94 
74,US-2015-134026,4/26/2015,Standard Class,JE-15745,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",2,$97.04 
75,US-2015-134026,4/26/2015,Standard Class,JE-15745,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,1,$72.78 
76,US-2017-118038,12/9/2017,First Class,KB-16600,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,3,$1.25 
77,US-2017-118038,12/9/2017,First Class,KB-16600,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",3,$9.71 
78,US-2017-118038,12/9/2017,First Class,KB-16600,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",3,$27.24 
79,US-2014-147606,11/26/2014,Second Class,JE-15745,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",5,$19.30 
