RowID,Product ID,Category,Sub-Category,Product Name,Price
1,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,130.98
2,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",243.98
3,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,7.31
4,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,191.5155
5,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,11.184
6,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",6.98
7,OFF-AR-10002833,Office Supplies,Art,Newell 322,1.82
8,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,151.192
9,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,6.168
10,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,22.98
11,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,189.576
12,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,227.856
13,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,5.184
14,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,135.992
15,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",13.762
16,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,0.848
17,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",110.98
18,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,27.75
19,OFF-AR-10003056,Office Supplies,Art,Newell 341,4.28
20,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,71.16
21,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",5.68
22,OFF-AR-10000246,Office Supplies,Art,Newell 318,2.78
23,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",8.62
24,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",35.686
25,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,5.824
26,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,30.19
27,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",440.49
28,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,4.809
29,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",41.4
30,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,1.632
31,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",14.384
32,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",1.143
33,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,7.88
34,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,9.824
35,TEC-PH-10004977,Technology,Phones,GE 30524EE4,156.792
36,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",38.184
37,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",12.592
38,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",177.4664
39,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",70.686
40,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,92.792
41,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,36.792
42,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",38.94
43,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",47.808
44,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",22.99
45,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,8.73
46,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",52.99
47,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,15
48,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",10.9
49,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",6.37
50,OFF-LA-10002762,Office Supplies,Labels,Avery 485,12.53
51,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,3.08
52,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99
53,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,2.18
54,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,205.99
55,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,34.76
56,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,6.48
57,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,63.882
58,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",7.28
59,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,12.12
60,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68
61,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",6.99
62,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",4.304
63,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,48.91
64,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,19.94
65,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",42.623
66,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",139.128
67,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,41.992
68,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",37.94
69,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616
70,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",6.35
71,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,103.992
72,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",48.52
73,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784
74,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,0.416
75,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",3.236
76,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",9.08
77,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",3.86
78,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16
79,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,5.58
80,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",2.98
81,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39
82,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,28.712
83,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,76.792
84,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,150.98
85,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99
86,OFF-LA-10000134,Office Supplies,Labels,Avery 511,3.08
87,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,22.624
88,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,6.7
89,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48
90,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,6.48
91,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",17.78
92,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,16.48
93,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682
94,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,13.79
95,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,17.104
96,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,12.98
97,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,9.232
98,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,31.992
99,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,0.596
100,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),5.98
101,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,39.816
102,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",34.12
103,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",12.294
104,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,9.264
105,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.992
106,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.304
107,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,67.992
108,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,20.98
109,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",37.98
110,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",4.54
111,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",2.864
112,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",2.36
113,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,7.992
114,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",21.744
115,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,262.51
116,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794
117,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,15.68
118,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",37.76
119,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,12.78
120,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,9.72
121,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,200.186
