job,doc,borough,house,street_name,job_type,job_status_descrp,landmarked,adult_estab,latest_action_date,existing_occupancy,proposed_occupancy,owner_type,job_description,initial_cost
110083524,2,MANHATTAN,152,WEST   57 STREET,A2,SIGNED OFF,N,N,2009-04-08 ,,,PARTNERSHIP,"Mechanical and Plumbing modifications as indicated on plans filed herewith. No change in use, egress or occupancy.",$160000.00
110083533,1,MANHATTAN,444,EAST   52 STREET,A2,SIGNED OFF,N,N,2009-06-04 ,RES,,CORPORATION,"Apartment renovation work to include partition, ceiling, door and plumbing work as indicated on plans filed herewith. No change in use, egress or occupancy.",$100000.00
110083542,1,MANHATTAN,2,WARDS ISLAND,A1,PLAN EXAM - DISAPPROVED,N,N,2008-02-14 ,J-1,J-1,OTHER,Herewith filing alteration type 1 to change use.,$400000.00
110083542,2,MANHATTAN,2,WARDS ISLAND,A1,PLAN EXAM - DISAPPROVED,N,N,2008-02-14 ,,,OTHER,Filing herewith  Plumbing and Mechanical work in conjunction with ALT 1,$300000.00
110083542,3,MANHATTAN,2,WARDS ISLAND,A1,APPLICATION PROCESSED - ENTIRE,N,N,2008-02-15 ,,,CORPORATION,"FILING HEREWITH, STRUCTURAL WORK",$0.00
102611247,1,MANHATTAN,455,MADISON AVENUE,A2,PERMIT ISSUED - ENTIRE JOB/WORK,Y,N,2000-10-17 ,,,PARTNERSHIP,"MODIFICATION TO EXISTING HVAC SYSTEM AND INSTALLATION OF PLUMBING FIXTUR AS PER PLANS.  NO CHANGE TO USE, EGRESS OR OCCUPANCY.",$47000.00
103027680,1,MANHATTAN,31,WEST   19 STREET,A2,SIGNED OFF,N,N,2013-05-29 ,COM,,CORPORATION,"CREATE NEW ELEVATOR SHAFT, NEW TOILET ROOMS AND MECHANICAL ROOMS. NO STAIR WORK UNDER THIS APPLICATION.",$50000.00
110083659,1,MANHATTAN,114,WEST   70 STREET,A2,PERMIT ISSUED - ENTIRE JOB/WORK,Y,N,2008-04-09 ,RES,,CONDO/CO-OP,FILING TO DO MINOR INTERIOR RENOVATION.NO CHANGE IN USE EGRESSOR OCCUPANCY.,$10000.00
110087469,1,MANHATTAN,270,LAFAYETTE STREET,A2,PERMIT ISSUED - ENTIRE JOB/WORK,N,N,2008-03-27 ,,,PARTNERSHIP,MODIFICATION OF FIRE ALARM SYSTEM ON 11FLR AS PER DRAWINGS NO CHANGE TO LL5/73 COMPLIANCE,$18000.00
110085531,1,MANHATTAN,50,WEST   93 STREET,A3,SIGNED OFF,N,N,2012-04-23 ,J-2,,PARTNERSHIP,Installation of pipe Scaffolding 12'  long by 80 ' high at the back yard.,$0.00
110085540,1,MANHATTAN,50,SUTTON PLACE SOUTH,A2,SIGNED OFF,N,N,2012-07-03 ,,,CORPORATION,"NO CHANGE IN USE, EGRESS OR OCCUPANCYREMOVE AND REPLACE THE EXISTING KITCHEN.  REMOVE AND REPLACE BOTHEXISTING BATHROOMS.  REMOVE ONE NON- STRUCTURAL PARTITION",$40000.00
110085666,1,MANHATTAN,162,2 AVENUE,A2,SIGNED OFF,N,N,2009-06-15 ,RES,,PARTNERSHIP,"Exterior facade and roof level repairs. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",$447187.00
110085675,1,MANHATTAN,234,CANAL STREET,A2,PERMIT ISSUED - PARTIAL JOB,N,N,2008-01-29 ,COM,,INDIVIDUAL,"Replace existing HVAC unit on roof. U.G.#6 No change in egress, occupancy or use is involved under this application.",$31000.00
110086549,1,MANHATTAN,2201,AMSTERDAM AVENUE,A2,PLAN EXAM - DISAPPROVED,N,N,2008-02-01 ,RES,,CORPORATION,FILING TO RENOVATE EXISTING COMMERCIAL SPACE TO CREATE NEW PROFFESSIONAL SPACE AS PER PLANS FILED. NO CHANGE IN USE EGRESS OR OCCUPANCY,$35000.00
103027920,1,MANHATTAN,4,NEW YORK PLAZA,A2,PLAN EXAM - APPROVED,N,N,2001-11-08 ,E,,CORPORATION,"Sprinkler modification on the 11th floor as indicated on the attached drawings. There is no change in use, egress, or occupancy.",$40000.00
110086530,1,MANHATTAN,99,JANE STREET,A2,PLAN EXAM - APPROVED,N,N,2008-02-01 ,J-2,,CORPORATION,"Installation of a new split system AC Unit.      No change to occupancy, use, egress or bulk",$10000.00
103028545,1,MANHATTAN,2228,BROADWAY,A1,SIGNED OFF,N,N,2003-06-20 ,COM,C,INDIVIDUAL,Change of occupancy at 2nd floor and part of 1st floor.  Obtain amended Certificate of Occupancy.,$1942000.00
103028545,2,MANHATTAN,2228,BROADWAY,A1,SIGNED OFF,N,N,2003-06-20 ,,,,HVAC & PLUMBING RENOVATIONS FOR NEW RETAIL STORE.,$0.00
103028545,3,MANHATTAN,2228,BROADWAY,A1,SIGNED OFF,N,N,2003-06-20 ,,,,Structural alteration as shown on plans filed herewith.,$0.00
110087450,1,MANHATTAN,200,MADISON AVENUE,A2,SIGNED OFF,N,N,2016-08-30 ,,,PARTNERSHIP,MODIFICATION OF FIRE ALARM SYSTEM ON 10TH FLR AS PER PLANS FILED NO CHANGE TO LL5/73 COMPLIANCE,$25000.00
103028714,1,MANHATTAN,635,MADISON AVENUE,A2,PERMIT ISSUED - ENTIRE JOB/WORK,N,N,2001-11-15 ,E,,CORPORATION,MINOR PARTITIONS ADDITIONS. THERE WILL BE NO CHANGES IN USE EGRESS OR OCCUPANCY.,$40000.00
103028714,2,MANHATTAN,635,MADISON AVENUE,A2,PERMIT ISSUED - ENTIRE JOB/WORK,N,N,2001-11-15 ,,,,MINOR MODIFICATION TO HVAC  DUCTWORK. THERE WILL BE NO CHANGE IN USE EGRESS OR OCCUPANCY.,$25000.00
103028723,1,MANHATTAN,450,PARK AVENUE,A2,SIGNED OFF,N,N,2002-03-25 ,E,,CORPORATION,AIR CONDITIONING INSTALLATION. THERE WILL BE NO CHANGE IN USE EGRESS OR OCCPANCY.,$5000.00
123446039,1,MANHATTAN,777,3RD AVENUE,A2,SIGNED OFF,N,N,2018-09-19 ,E,E,PARTNERSHIP,"DEMOLISH AND CONSTRUCT INTERIOR PARTITIONS, CEILINGS AND DOORS AS SHOWN ON DRAWINGS FILED HEREWITH. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",$140000.00
240211748,1,BRONX,1995,CRESTON AVENUE,A2,PLAN EXAM - APPROVED,N,N,2018-01-18 ,J-2,J-2,CORPORATION,"INSTALLATION OF NEW GAS-FIRED STEAM BOILER/BURNER FOR SPACE HEATING & NEW GAS FIRED BOILER FOR INDIRECT DOMESTIC HOT WATER HEATING WITH STORAGE TANK.  NO CHANGE IN USE, EGRESS OR OCCUPANCY.",$50000.00
110087478,1,MANHATTAN,330,MADISON AVENUE,A2,PERMIT ISSUED - ENTIRE JOB/WORK,N,N,2008-03-20 ,,,PARTNERSHIP,MODIFICATION OF FIRE ALARM ON 29TH FLOORAS PER DRAWINGS _NO CHANGE TOLL5/73 COMPLIANCE,$3000.00
110087726,1,MANHATTAN,361,WEST   17 STREET,A2,SIGNED OFF,N,N,2011-01-10 ,,,PARTNERSHIP,"INSTALL FIRE SUPPRESSION SYSTEM ONLY. NOCHANGE IN USE, EGRESS OR OCCUPAN CY.",$2000.00
103029624,1,MANHATTAN,1800,2 AVENUE,A3,PERMIT ISSUED - ENTIRE JOB/WORK,N,N,2001-11-13 ,J-2,,PARTNERSHIP,FILE BUILDER PAVEMENT PLAN IN CONJUNCTION WITH NEW BUILDING APPLICATION # 102981310,$0.00
103028876,1,MANHATTAN,520,8 AVENUE,A2,SIGNED OFF,N,N,2002-04-03 ,E,,PARTNERSHIP,"Refurbish 16th floor offices. Modify ductwork for existing A/C unit. No change in entry, egress, use, or occupancy.",$10000.00
103028885,1,MANHATTAN,560,LEXINGTON AVENUE,A2,SIGNED OFF,N,N,2003-04-07 ,E,,PARTNERSHIP,"General construction. Installation of partitions, doors and ceilings as per plans. No change to use, egress or occupancy.",$125000.00
103028885,2,MANHATTAN,560,LEXINGTON AVENUE,A2,SIGNED OFF,N,N,2003-04-07 ,,,,"Modification to existing HVAC system as per plans. No change to use, egress or occupancy.",$70000.00
103028901,1,MANHATTAN,29,EAST    9 STREET,A2,SIGNED OFF,N,N,2003-02-26 ,,,CORPORATION,"APT 12A ON TENANT FLS 6 &7: PERFORM MINOR DEMOLITION, ERECT PARTITIONS AND INSTALL HUNG CEILING AND SANITARY FACILITIES AS PER PLANS FILED HEREWITH. NO CHANGE TO USE, OCCUPANCY, ZONING, FIREPROTECTION OR EGRESS.",$60000.00
123321896,1,MANHATTAN,529,WEST 20TH STREET,A2,PERMIT ISSUED - ENTIRE JOB/WORK,N,N,2019-12-12 ,COM,COM,CORPORATION,MODIFICATION TO EXISTING SMOKE DETECTION AND FIRE ALARM SYSTEM.,$1900.00
440512875,1,QUEENS,87-37,258TH STREET,A2,SIGNED OFF,N,N,2019-10-04 ,J-3,J-3,INDIVIDUAL,"INSTALLATION OF ROOF MOUNTED SOLAR. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",$52064.00
220672207,1,BRONX,3530,HENRY HUDSON PARKWAY,A2,PERMIT ISSUED - ENTIRE JOB/WORK,N,N,2018-10-12 ,J-2,J-2,INDIVIDUAL,"RENOVATE BATHROOM IN APARTMENT 4 O. NO CHANGE IN USE, EGRESS OR OCCUPANCY IS INVOLVED UNDER THIS APPLICATION.",$5000.00
102609946,1,MANHATTAN,149,WEST   45 STREET,A3,PERMIT ISSUED - ENTIRE JOB/WORK,Y,N,2000-05-09 ,COM,,CORPORATION,"INSTALL PIPE SCAFFOLDING 60' HX25'LX10'W DURING FACADE. NO CHANGE IN USE,EGRESS OR OCCUPANCY.",$0.00
102609955,1,MANHATTAN,370,7 AVENUE,A3,SIGNED OFF,N,N,2005-02-25 ,COM,,CORPORATION,"INSTALLATION OF A HEAVY DUTY SIDEWALK SH ED 468' DURING FACADE REPAIR. N CHANGE IN USE,EGRESS OR OCCUPANCY,SHED TO COMPLY WITH LL#33/91.",$0.00
321823853,1,BROOKLYN,1172,FULTON STREET,A2,PLAN EXAM - DISAPPROVED,N,N,2019-01-24 ,R-2,R-2,CORPORATION,"INSTALLATION OF NEW AUTOMATIC SMOKE DETECTION AND SPRINKLER FIRE ALARM SYSTEM. NO CHANGE TO USE, EGRESS AND OCCUPANCY.",$1000.00
321814104,1,BROOKLYN,1172,FULTON STREET,A2,PLAN EXAM - DISAPPROVED,N,N,2018-12-13 ,R-2,R-2,CORPORATION,"INSTALLATION OF NEW SPRINKLER HEADS IN THE CELLAR, 001 THRU 006 FLOORS. FILED IN CONJUNCTION WITH ALT.1 APPLICATION# 321713534. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",$63700.00
440514043,1,QUEENS,89-19,186TH STREET,A2,PERMIT ISSUED - ENTIRE JOB/WORK,N,N,2018-10-19 ,R-3,R-3,INDIVIDUAL,ROOFTOP SOLAR PANEL INSTALLATION,$17000.00
321805533,1,BROOKLYN,1538,W 6 STREET,A2,SIGNED OFF,N,N,2019-04-16 ,RES,RES,INDIVIDUAL,"EXTERIOR RENOVATION ON EXIST. RESIDENTIAL HOUSE WITH REPLACE BRICK VENEER AND GUARD RAIL. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",$10000.00
220631314,1,BRONX,1484,JEROME AVENUE,A1,PLAN EXAM - APPROVED,N,N,2018-05-10 ,COM,S-2,CORPORATION,"LEGALIZE ATTENDED PARKING GARAGE WITH MINOR PARTITIONS WORK, PLUMBING AND ADA RAMP AS PER PLANS FILED.  OBTAIN AMENDED C OF O UPON COMPLETION.",$10000.00
102526287,1,MANHATTAN,104,WEST   40 STREET,A2,SIGNED OFF,N,N,2004-02-06 ,E,,PARTNERSHIP,"PROPOSE TO DEMO EXISTING PARTITIONS CEILINGS AND DOORS. INSTALL NEW PARTITIONS, CEILINGS AND DOORS.  NO CHANGE TO USE, EGRESS OR OCCUPANCY.",$139000.00
340637859,1,BROOKLYN,99,LAFAYETTE AVENUE,A2,PLAN EXAM - IN PROCESS,N,N,2018-10-05 ,J-2,J-2,PARTNERSHIP,RENOVATE APT 2C.NO WINDOW WORK,$32000.00
103028910,1,MANHATTAN,330,5 AVENUE,A2,SIGNED OFF,N,N,2006-06-05 ,,,CORPORATION,"ADDITION TO EXISTING FIRE ALARM SYSTEM. INSTALLATION OF SPEAKER/STROBE LIGHTS; STROBE LIGHTS, SMOKE DETECTORS.",$10000.00
103028929,1,MANHATTAN,10,EAST   39 STREET,A2,SIGNED OFF,N,N,2002-02-06 ,,,CORPORATION,"ADDITION TO EXISTING CLASS 'E' SYSTEM. INSTALLATION OF SPEAKER/STROBE LIGHT; STROBE LIGHTS, MANUAL PULL STATION.",$3000.00
103028938,1,MANHATTAN,372,CENTRAL PARK WEST,A3,PERMIT ISSUED - ENTIRE JOB/WORK,N,N,2002-01-28 ,J-2,,CORPORATION,"Proposed interior alteration to apartment 19Y as per plans submitted herewith. No change of Use, Occupancy Group or Egress.",$5000.00
103028956,1,MANHATTAN,26,EAST   40 STREET,A2,PERMIT ISSUED - PARTIAL JOB,N,N,2001-11-29 ,,,,"INSTALL FIRE SUPPRESSION SYSTEM ONLY. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",$2000.00
110087735,1,MANHATTAN,1640,2 AVENUE,A2,SIGNED OFF,N,N,2010-11-03 ,COM,COM,INDIVIDUAL,"INSTALLATION OF FIRE SUPPRESSION SYSTEM ONLY. NO CHANGE IN USE, EGRESS OR OCCU PANCY.",$3000.00
110087744,1,MANHATTAN,566,WEST  159 STREET,A2,PERMIT ISSUED - ENTIRE JOB/WORK,N,N,2008-03-20 ,RES,,CORPORATION,"MISC.FACADE RENOVATIONS,WORK TO INCLUDE,REAR YARD REPOINTING,MISC.PARAPET REPAIR AND FOUR WINDOW LINEL REPLACEMENT ON 5TH AND 6TH FLOOR ON REAR FACADE.NO CHANGE IN USE EGRESS OR OCCUPANCY.",$26000.00
110088100,2,MANHATTAN,11,MADISON AVENUE,A2,SIGNED OFF,N,N,2008-05-01 ,,,,"Modification to HVAC system as per plans filed herewith.  No change in use, egress or occupancy under this application.",$30000.00
103029107,1,MANHATTAN,10,EAST END AVENUE,A2,SIGNED OFF,N,N,2002-04-09 ,RES,,INDIVIDUAL,"COMBINING APARTMENTS 14J & 14K.  REMOVAL OF NON BEARING PARTITIONS,  REMOVE KITCHEN CAP PIPING & RENOVATE APARTMENTS",$15000.00
103029562,1,MANHATTAN,219,EAST   42 STREET,A2,SIGNED OFF,N,N,2003-06-20 ,E,,CORPORATION,Modifications of fire alarm system as per plans filed herewith.  No change to use egress or occupancy.,$20000.00
103029571,1,MANHATTAN,219,EAST   42 STREET,A2,SIGNED OFF,N,N,2002-06-13 ,E,,CORPORATION,Installation of non bearing partitions as per plans filed herewith.  No change to use egress or occupancy.,$200000.00
103029571,2,MANHATTAN,219,EAST   42 STREET,A2,SIGNED OFF,N,N,2002-06-13 ,,,,Mechanical alterations as per plans filed herewith.  No change to use egress or occupancy. Plumbing work as per plans filed herewith.,$130000.00
103029820,1,MANHATTAN,781,8 AVENUE,A3,SIGNED OFF,N,N,2013-04-26 ,COM,,CORPORATION,"INSTALLATION OF HEAVY DUTY SIDEWALK SHED 25' DURING FACADE REPAIR. NO CHANGE IN EGRESS, USE, OR, OCCUPANCY. SHED TO COMPLY WITH LL33/91.",$0.00
103029848,1,MANHATTAN,589,FIFTH AVENUE,A2,SIGNED OFF,N,N,2002-06-10 ,COM,,PARTNERSHIP,"Filing herewith interior demolition, partition and ceiling work as per plans. No change in use, egress or occupancy.",$40000.00
103030177,2,MANHATTAN,820,2 AVENUE,A2,SIGNED OFF,N,N,2002-08-08 ,,,,Mechanical and plumbing changes on part of the 10th  floor as indicated on drawings. No change in use egress or occupancy. No change to LL#5/73 compliance.,$24000.00
103030186,1,MANHATTAN,345,EAST   86 STREET,A2,SIGNED OFF,N,N,2006-05-10 ,,,CORPORATION,"COMBINE TWO APARTMENTS INTO ONE,MINOR PARTITION AND PLUMBING WORK RELOCATE HALLWAY VENT.",$10000.00
110088100,3,MANHATTAN,11,MADISON AVENUE,A2,SIGNED OFF,N,N,2008-05-01 ,,,,"Modification to plumbing fistures as per plans filed herewith.  No change in use, egress or occupancy under this application.",$20000.00
110088431,2,MANHATTAN,100,PARK AVENUE,A2,SIGNED OFF,N,N,2009-09-17 ,,,,"Modifications to HVAC system and installation of plumbing fixtures as per plans filed herewith. No change in use, egress or occupancy.",$411000.00
110088440,1,MANHATTAN,575,GRAND STREET,A2,PERMIT ISSUED - ENTIRE JOB/WORK,N,N,2008-04-02 ,,,PARTNERSHIP,RENOVATION OF EXISTING APT 804E AS PERPLANS FILED,$5000.00
110088459,1,MANHATTAN,319,WEST   30 STREET,A2,PERMIT ISSUED - PARTIAL JOB,N,N,2008-02-11 ,RES,,CORPORATION,"COMBINE  7 SRO UNITS INTO 3 UNITS  AT FIRST FLOOR.       7 SRO UNITS INTO 3 UNITS AT 2ND FLOOR AND 5 SRO UNITS INTO 2 UNITS AT THIRD FLOOR  AS PER PLAN ATTACHED  , INTERIOR RENOVATION  AND PLUMBING WORK. NO CHANGE IN USE, OCCUPANCY,EGRESS",$38000.00
440461411,1,QUEENS,147-08,70TH RD,A2,SIGNED OFF,N,N,2019-03-15 ,R-3,R-3,INDIVIDUAL,"INSTALLATION OF SOLAR PANELS ON EXISTING ROOF STRUCTURE. NO CHANGE IN EGRESS, USE, OR OCCUPANCY",$11038.00
421593957,1,QUEENS,52-67,LITTLE NECK PARKWAY,DM,SIGNED OFF,N,N,2018-08-20 ,RES,,CORPORATION,THIS JOB IS FILED FOR DEMOLITION OF TWO STORY HOUSE.,$0.00
102526358,1,MANHATTAN,1601,BROADWAY,A2,PLAN EXAM - APPROVED,N,N,2001-05-04 ,E,,CORPORATION,"MODIFICATION TO EXISTING SPRINKLER SYSTEM INVOLVING THE INSTALLATION OF SPRINKLER HEADS AS PER PLANS. NO CHANGE TO USE, EGRESS OR OCCUPANCY",$10000.00
