,0,1,Date of Completion,Date of Demolition,NYCHA Property,Neighborhood/Subsection,No.# of Apartments,No.# of Buildings,No.# of Stories,Notes
0,,"This article has no lead section. Please help by adding an introductory section to this article. For more information, see the layout guide, and Wikipedia's lead section guidelines to ensure the section will be inclusive of all the essential details. Please discuss this issue on the article's talk page. (April 2019) (Learn how and when to remove this template message)",,,,,,,,
0,,,"October 30, 1950",,Alfred E. Smith Houses,Lower East Side,1931.0,12.0,17,
1,,,"April 30, 1962",,Audubon Houses,Washington Heights,167.0,1.0,20,
2,,,"January 31, 1974",,Amsterdam Addition,Upper West Side,175.0,1.0,27,
3,,,"December 17, 1948",,Amsterdam Houses,Upper West Side,1080.0,13.0,6 and 13,
4,,,"April 30, 1977",,Baruch Addition,Lower East Side,197.0,1.0,23,Senior-Only Housing
5,,,"June 30, 1959",,Baruch Houses,Lower East Side,2193.0,17.0,"7, 13 and 14",
6,,,"March 31, 1967",,Bethune Gardens,Washington Heights,210.0,1.0,22,
7,,,"May 31, 1974",,Bracetti Plaza,East Village,108.0,1.0,7,
8,,,"September 30, 1979",,Campos Plaza,East Village,270.0,2.0,10 and 20,
9,,,"January 31, 1958",,Carver Houses,East Harlem,1246.0,13.0,6 and 15,
10,,,"May 31, 1964",,Chelsea Houses,Chelsea,426.0,2.0,21,Combined with Elliott Houses
11,,,"April 30, 1968",,Chelsea Addition,Chelsea,96.0,1.0,14,Senior-Only Housing; Combined with Elliot Houses
12,,,"October 31, 1965",,Clinton Houses,East Harlem,749.0,6.0,9 and 18,
13,,,"November 30, 1973",,Corsi Houses,East Harlem,171.0,1.0,16,Senior-Only Housing
14,,,"February 28, 1969",,De Hostos Apartments,Upper West Side,219.0,1.0,22,
15,,,"September 30, 1965",,Drew Hamilton Houses,Harlem,1207.0,5.0,21,
16,,,"April 25, 1951",,Dyckman Houses,Inwood,1167.0,7.0,14,
17,,,"May 20, 1941",,East River Houses,East Harlem,1158.0,10.0,"6, 10 and 11",
18,,,"July 15, 1947",,Elliott Houses,Chelsea,608.0,4.0,11 and 12,
19,,,"May 1, 1985",,Fabria Houses,East Village,40.0,3.0,5,
20,,,"May 31, 1936",,First Houses,East Village,126.0,8.0,4 and 5,Oldest public housing development out of all of the boroughs in the city.
21,,,"September 30, 1984",,Fort Washington Avenue Rehab,Washington Heights,226.0,1.0,7,Senior-Only Housing
22,,,"June 30, 1965",,Frederick Douglass Addition,Upper West Side,135.0,1.0,16,
23,,,"May 31, 1958",,Frederick Douglass Houses,Upper West Side,2054.0,17.0,"5, 9, 12, 17, 18 and 20",
24,,,"June 30, 1993",,Frederick E. Samuel Apartments,Harlem,659.0,40.0,"5, 6 and 7",
25,,,"March 31, 1965",,Fulton Houses,Chelsea,945.0,11.0,6 and 25,
26,,,"April 30, 1964",,Gompers Houses,Lower East Side,474.0,2.0,20,
27,,,"May 31, 1977",,Grampion Houses,Harlem,35.0,1.0,7,
28,,,"September 30, 1957",,Grant Houses,Manhattanville,1940.0,9.0,13 and 21,
29,,,"June 30, 1977",,Harborview Terrace,Clinton,377.0,2.0,14 and 15,
