,IBM,MSFT,AAPL,AMZN,FB
2020-12-29.1. open,125.3500,226.3100,138.0500,3309.9400,276.9500
2020-12-29.2. high,125.4800,227.1800,138.7890,3350.6500,280.5100
2020-12-29.3. low,123.2400,223.5800,134.3409,3281.2230,276.2800
2020-12-29.4. close,123.8000,224.1500,134.8700,3322.0000,276.7800
2020-12-29.5. volume,3487007,17403213,121047324,4872933,16382995
2020-12-30.1. open,123.8000,225.2300,135.5800,3341.0000,277.9500
2020-12-30.2. high,124.8500,225.6300,135.9900,3342.1000,278.0800
2020-12-30.3. low,123.6300,221.4700,133.4000,3282.4700,271.7100
2020-12-30.4. close,124.3400,221.6800,133.7200,3285.8500,271.8700
2020-12-30.5. volume,3380494,20272337,96452124,3209310,11803795
2020-12-31.1. open,124.2200,221.7000,134.0800,3275.0000,272.0000
2020-12-31.2. high,126.0300,223.0000,134.7400,3282.9219,277.0900
2020-12-31.3. low,123.9900,219.6800,131.7200,3241.2000,269.8100
2020-12-31.4. close,125.8800,222.4200,132.6900,3256.9300,273.1600
2020-12-31.5. volume,3574696,20942132,99116586,2957206,12900408
2021-01-04.1. open,125.8500,222.5300,133.5200,3270.0000,274.7800
2021-01-04.2. high,125.9174,223.0000,133.6116,3272.0000,275.0000
2021-01-04.3. low,123.0400,214.8100,126.7600,3144.0200,265.2000
2021-01-04.4. close,123.9400,217.6900,129.4100,3186.6300,268.9400
2021-01-04.5. volume,5179161,37130139,143301887,4411449,15106113
2021-01-05.1. open,125.0100,217.2600,128.8900,3166.0100,268.2900
2021-01-05.2. high,126.6800,218.5200,131.7400,3223.3800,272.4000
2021-01-05.3. low,124.6100,215.7000,128.4300,3165.0600,268.2111
2021-01-05.4. close,126.1400,217.9000,131.0100,3218.5100,270.9700
2021-01-05.5. volume,6114619,23822953,97664898,2655548,9871557
2021-01-06.1. open,126.9000,212.1700,127.7200,3146.4800,262.0000
2021-01-06.2. high,131.8800,216.4899,131.0499,3197.5090,267.7500
2021-01-06.3. low,126.7200,211.9400,126.3820,3131.1600,260.0100
2021-01-06.4. close,129.2900,212.2500,126.6000,3138.3800,263.3100
2021-01-06.5. volume,7956740,35930653,155087970,4394815,24354149
2021-01-07.1. open,130.0400,214.0400,128.3600,3157.0000,265.9000
2021-01-07.2. high,130.4600,219.3400,131.6300,3208.5420,271.6100
2021-01-07.3. low,128.2600,213.7100,127.8600,3155.0000,264.7800
2021-01-07.4. close,128.9900,218.2900,130.9200,3162.1600,268.7400
2021-01-07.5. volume,4507382,27694480,109578157,3514545,15789756
2021-01-08.1. open,128.5700,218.6800,132.4300,3180.0000,268.3100
2021-01-08.2. high,129.3200,220.5800,132.6300,3190.6400,268.9500
2021-01-08.3. low,126.9800,217.0261,130.2300,3142.2000,263.1800
2021-01-08.4. close,128.5300,219.6200,132.0500,3182.7000,267.5700
2021-01-08.5. volume,4676487,22956206,105158245,3537744,18528251
2021-01-11.1. open,127.9500,218.4700,129.1900,3148.0100,260.4800
2021-01-11.2. high,129.6750,218.9100,130.1700,3156.3841,263.4700
2021-01-11.3. low,127.6600,216.7300,128.5000,3110.0000,255.9000
2021-01-11.4. close,128.5800,217.4900,128.9800,3114.2100,256.8400
2021-01-11.5. volume,5602466,23047029,100620880,3669095,30412286
2021-01-12.1. open,129.0900,216.5000,128.5000,3120.0000,256.6300
2021-01-12.2. high,129.8500,217.1000,129.6900,3142.1418,259.7200
2021-01-12.3. low,127.9400,213.3202,126.8600,3086.0000,250.3000
2021-01-12.4. close,129.2100,214.9300,128.8000,3120.8300,251.0900
2021-01-12.5. volume,3729068,23148341,90440255,3418549,25772128
2021-01-13.1. open,129.1500,214.0200,128.7600,3128.4400,251.5500
2021-01-13.2. high,129.7500,216.7600,131.4500,3189.9500,253.9500
2021-01-13.3. low,126.4550,213.9266,128.4900,3122.0800,249.2000
2021-01-13.4. close,126.9200,216.3400,130.8900,3165.8900,251.6400
2021-01-13.5. volume,7677739,20087080,88636831,3321244,19528938
2021-01-14.1. open,128.0200,215.9100,130.8000,3167.5200,253.4000
2021-01-14.2. high,130.1600,217.4600,131.0000,3177.9999,255.0300
2021-01-14.3. low,127.5500,212.7400,128.7600,3120.5900,244.6100
2021-01-14.4. close,128.9700,213.0200,128.9100,3127.4700,245.6400
2021-01-14.5. volume,7503180,29346737,90221755,3070919,29739404
2021-01-15.1. open,128.2800,213.5200,128.7800,3123.0200,247.9000
2021-01-15.2. high,129.2400,214.5100,130.2242,3142.5450,253.8600
2021-01-15.3. low,127.6700,212.0300,127.0000,3095.1700,247.1600
2021-01-15.4. close,128.3900,212.6500,127.1400,3104.2500,251.3600
2021-01-15.5. volume,4905506,31746512,111598531,4243995,24942930
2021-01-19.1. open,129.2800,213.7500,127.7800,3107.0000,256.9000
2021-01-19.2. high,129.5900,216.9800,128.7100,3145.0000,262.2000
2021-01-19.3. low,128.0885,212.6300,126.9380,3096.0000,252.7201
2021-01-19.4. close,129.0200,216.4400,127.8300,3120.7600,261.1000
2021-01-19.5. volume,5397956,30480859,90757329,3305142,28028546
2021-01-20.1. open,129.7000,217.7000,128.6600,3181.9900,268.9300
2021-01-20.2. high,131.0600,225.7900,132.4900,3279.8000,270.3200
2021-01-20.3. low,128.5600,217.2908,128.5500,3175.0000,263.6000
2021-01-20.4. close,130.0800,224.3400,132.0300,3263.3800,267.4800
2021-01-20.5. volume,5598705,37777260,104319489,5309835,25199919
2021-01-21.1. open,130.1200,224.7000,133.8000,3293.0000,269.2600
2021-01-21.2. high,132.2400,226.3000,139.6700,3348.5500,273.6000
2021-01-21.3. low,130.0500,222.4200,133.5900,3289.5675,267.4901
2021-01-21.4. close,131.6500,224.9700,136.8700,3306.9900,272.8700
2021-01-21.5. volume,12819233,30749553,120529544,4945051,20838687
2021-01-22.1. open,120.7000,227.0800,136.2800,3304.3100,272.0100
2021-01-22.2. high,120.7000,230.0700,139.8500,3321.9100,278.4700
2021-01-22.3. low,117.3600,225.8000,135.0200,3283.1644,272.0000
2021-01-22.4. close,118.6100,225.9500,139.0700,3292.2300,274.5000
2021-01-22.5. volume,38063533,30172663,114459360,2821914,21954042
2021-01-25.1. open,118.7624,229.1200,143.0700,3328.5000,278.1400
2021-01-25.2. high,119.5380,229.7800,145.0900,3363.8900,280.1000
2021-01-25.3. low,117.4500,224.2200,136.5400,3243.1463,271.5100
2021-01-25.4. close,118.5800,229.5300,142.9200,3294.0000,278.0100
2021-01-25.5. volume,13686391,33152095,157611713,3749758,19086990
2021-01-26.1. open,119.1800,231.8600,143.6000,3296.3559,278.1398
2021-01-26.2. high,122.5900,234.1800,144.3000,3338.0000,285.3900
2021-01-26.3. low,118.4200,230.0800,141.3700,3282.8700,277.8100
2021-01-26.4. close,122.4900,232.3300,143.1600,3326.1300,282.0500
2021-01-26.5. volume,10694708,49169601,98390555,2955235,19373636
2021-01-27.1. open,122.0800,238.0000,143.4300,3341.4900,282.5300
2021-01-27.2. high,124.7900,240.4400,144.3000,3346.5200,283.4500
2021-01-27.3. low,121.6214,230.1400,140.4100,3207.0800,268.1201
2021-01-27.4. close,122.4700,232.9000,142.0600,3232.5800,272.1400
2021-01-27.5. volume,12146541,69870638,140843759,4660158,35346194
2021-01-28.1. open,122.8000,235.6100,139.5200,3235.0400,277.1800
2021-01-28.2. high,123.2000,242.6400,141.9900,3301.6800,286.7900
2021-01-28.3. low,120.0700,235.0900,136.7000,3228.6900,264.7000
2021-01-28.4. close,120.0800,238.9300,137.0900,3237.6200,265.0000
2021-01-28.5. volume,8084051,49111159,142621128,3149228,37758844
2021-01-29.1. open,120.2200,235.9900,135.8300,3230.0000,265.3000
2021-01-29.2. high,121.3000,238.0200,136.7400,3236.9900,266.5600
2021-01-29.3. low,118.9000,231.3500,130.2100,3184.5500,254.8500
