,Security,Symbol,2021-05-11 00:00:00,2021-05-12 00:00:00,2021-05-13 00:00:00,2021-05-14 00:00:00,2021-05-17 00:00:00,2021-05-18 00:00:00,2021-05-19 00:00:00,2021-05-20 00:00:00,2021-05-21 00:00:00,2021-05-24 00:00:00,Info
0,Agilent Technologies,A,130.27000427246094,130.33999633789062,129.61000061035156,130.47000122070312,130.83999633789062,129.9499969482422,127.5999984741211,130.61000061035156,132.6699981689453,133.50999450683594,Open
1,American Airlines Group,AAL,21.06999969482422,21.360000610351562,20.8799991607666,21.43000030517578,22.31999969482422,23.540000915527344,22.969999313354492,23.18000030517578,22.709999084472656,22.850000381469727,Open
2,Advance Auto Parts,AAP,207.92999267578125,204.75,201.27000427246094,205.75999450683594,203.91000366210938,204.6199951171875,199.02999877929688,194.6999969482422,197.52000427246094,194.9199981689453,Open
3,AbbVie Inc.,ABBV,115.4800033569336,114.8499984741211,115.55000305175781,117.36000061035156,116.7699966430664,116.11000061035156,116.45999908447266,115.33999633789062,117.5199966430664,116.58999633789062,Open
4,Abiomed,ABMD,279.1199951171875,276.5899963378906,274.75,266.2799987792969,266.1199951171875,266.7200012207031,267.44000244140625,276.4100036621094,276.3999938964844,282.6499938964844,Open
5,Abbott Laboratories,ABT,118.86000061035156,117.16999816894531,117.0,117.98999786376953,118.0,116.72000122070312,116.16000366210938,116.55000305175781,118.2300033569336,118.04000091552734,Open
6,Accenture,ACN,288.44000244140625,285.2300109863281,281.1199951171875,286.8599853515625,287.6400146484375,285.80999755859375,279.92999267578125,281.70001220703125,285.0,285.20001220703125,Open
7,Adobe Inc.,ADBE,471.0299987792969,477.19000244140625,478.010009765625,481.6300048828125,487.0299987792969,484.6300048828125,473.0199890136719,483.67999267578125,494.19000244140625,494.6400146484375,Open
8,Ameren Corp,AEE,85.83999633789062,83.62000274658203,82.20999908447266,83.72000122070312,83.80999755859375,83.22000122070312,83.87000274658203,84.37000274658203,84.55000305175781,85.33999633789062,Open
9,American Electric Power,AEP,87.58000183105469,86.29000091552734,85.0,86.91999816894531,86.47000122070312,85.87999725341797,85.58999633789062,85.86000061035156,86.61000061035156,87.05999755859375,Open
10,AES Corp,AES,25.280000686645508,25.18000030517578,24.829999923706055,24.649999618530273,25.139999389648438,25.260000228881836,24.510000228881836,25.0,25.489999771118164,25.610000610351562,Open
11,Aflac,AFL,56.22999954223633,55.529998779296875,54.189998626708984,55.77000045776367,56.2599983215332,55.91999816894531,55.459999084472656,55.75,55.849998474121094,56.209999084472656,Open
12,Akamai Technologies,AKAM,109.33999633789062,110.72000122070312,111.58999633789062,111.5,113.58000183105469,112.66000366210938,111.45999908447266,113.69999694824219,113.19999694824219,113.52999877929688,Open
13,Albemarle Corporation,ALB,155.64999389648438,158.5,158.0500030517578,159.1300048828125,162.5,158.9499969482422,155.0,156.66000366210938,159.44000244140625,160.5500030517578,Open
14,Align Technology,ALGN,539.9099731445312,553.4199829101562,557.5800170898438,562.5499877929688,562.0999755859375,567.0999755859375,557.4199829101562,575.0,594.0999755859375,596.9000244140625,Open
15,Alaska Air Group,ALK,65.30000305175781,65.2300033569336,65.4000015258789,68.08000183105469,69.19999694824219,72.0,69.29000091552734,69.87999725341797,68.87999725341797,68.43000030517578,Open
16,Allstate Corp,ALL,134.77000427246094,134.9600067138672,132.16000366210938,137.74000549316406,138.75,138.27999877929688,136.5500030517578,135.10000610351562,136.38999938964844,137.4199981689453,Open
17,Allegion,ALLE,141.64999389648438,139.5500030517578,135.8000030517578,139.58999633789062,139.52999877929688,138.97999572753906,135.52999877929688,138.24000549316406,138.24000549316406,138.0,Open
18,Alexion Pharmaceuticals,ALXN,170.92999267578125,172.0,172.05999755859375,173.58999633789062,173.7899932861328,175.0,175.2899932861328,176.11000061035156,178.07000732421875,178.1999969482422,Open
19,Amcor plc,AMCR,12.449999809265137,12.369999885559082,12.119999885559082,12.380000114440918,12.380000114440918,12.239999771118164,12.130000114440918,11.949999809265137,11.989999771118164,12.0600004196167,Open
20,Advanced Micro Devices,AMD,73.56999969482422,75.08999633789062,75.20999908447266,74.0199966430664,74.22000122070312,74.73999786376953,73.16000366210938,76.80999755859375,78.55000305175781,77.26000213623047,Open
21,Amazon.com Inc.,AMZN,3136.280029296875,3185.0,3185.469970703125,3185.56005859375,3245.929931640625,3292.580078125,3195.0,3244.39990234375,3250.0,3215.5,Open
22,Air Products & Chemicals,APD,292.6000061035156,298.42999267578125,293.1400146484375,301.5,301.0,300.8900146484375,297.6700134277344,297.94000244140625,298.1499938964844,300.4599914550781,Open
23,Alexandria Real Estate Equities,ARE,178.6999969482422,176.55999755859375,172.67999267578125,172.83999633789062,173.99000549316406,172.36000061035156,173.1300048828125,172.6699981689453,174.91000366210938,175.52999877929688,Open
24,Activision Blizzard,ATVI,93.66000366210938,94.27999877929688,93.47000122070312,94.4000015258789,92.68000030517578,92.55000305175781,92.2699966430664,94.63999938964844,96.97000122070312,95.93000030517578,Open
25,Alphabet Inc. (Class C),GOOG,2291.860107421875,2261.7099609375,2261.090087890625,2291.830078125,2309.320068359375,2336.906005859375,2264.39990234375,2328.0400390625,2365.989990234375,2367.0,Open
26,Alphabet Inc. (Class A),GOOGL,2243.070068359375,2226.18994140625,2226.1201171875,2258.5400390625,2263.570068359375,2302.35009765625,2228.429931640625,2291.0,2317.409912109375,2314.889892578125,Open
27,Alliant Energy,LNT,57.97999954223633,56.91999816894531,55.689998626708984,57.02000045776367,57.09000015258789,57.59000015258789,57.56999969482422,57.720001220703125,57.4900016784668,58.380001068115234,Open
28,3M Company,MMM,206.60000610351562,203.58999633789062,198.63999938964844,204.0,204.60000610351562,204.99000549316406,201.91000366210938,201.08999633789062,201.7100067138672,202.8000030517578,Open
29,Altria Group Inc,MO,50.68000030517578,50.720001220703125,49.16999816894531,50.369998931884766,50.25,50.119998931884766,49.529998779296875,49.400001525878906,50.189998626708984,50.119998931884766,Open
