,,2021-05-07,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-17,2021-05-18,2021-05-19,2021-05-20
Adj Close,A,133.89999389648438,131.8699951171875,131.4199981689453,128.63999938964844,130.02000427246094,131.14999389648438,130.11000061035156,128.75,130.2100067138672,132.14999389648438
Adj Close,AAL,22.0,22.0,21.56999969482422,20.760000228881836,21.209999084472656,22.399999618530273,23.350000381469727,23.559999465942383,22.969999313354492,22.600000381469727
Adj Close,AAP,204.47000122070312,208.58999633789062,204.2100067138672,201.7899932861328,204.5,202.80999755859375,204.5800018310547,200.0399932861328,194.5800018310547,196.9499969482422
Adj Close,ABBV,115.75,116.22000122070312,114.88999938964844,114.95999908447266,116.5999984741211,116.43000030517578,116.88999938964844,117.20999908447266,115.8499984741211,117.11000061035156
Adj Close,ABMD,296.80999755859375,282.7200012207031,280.29998779296875,272.25,262.7099914550781,268.55999755859375,267.95001220703125,272.9700012207031,273.9800109863281,276.3900146484375
Adj Close,ABT,118.94999694824219,118.94000244140625,118.38999938964844,116.3499984741211,117.44999694824219,118.30999755859375,116.73999786376953,116.9800033569336,116.37999725341797,117.80000305175781
Adj Close,ACN,291.5299987792969,290.6099853515625,287.95001220703125,279.3900146484375,285.32000732421875,288.20001220703125,287.0,283.010009765625,280.9700012207031,283.95001220703125
Adj Close,ADBE,488.7300109863281,479.3800048828125,485.19000244140625,472.0899963378906,474.1600036621094,486.55999755859375,482.739990234375,480.6199951171875,480.4700012207031,491.6700134277344
Adj Close,AEE,84.9800033569336,85.83999633789062,83.38999938964844,82.43000030517578,83.51000213623047,83.69999694824219,83.4000015258789,83.93000030517578,84.20999908447266,84.5
Adj Close,AEP,87.19000244140625,87.55999755859375,86.41000366210938,84.9800033569336,86.5199966430664,86.76000213623047,85.44999694824219,85.75,85.91999816894531,86.26000213623047
Adj Close,AES,25.790000915527344,25.729999542236328,25.34000015258789,24.6200008392334,24.440000534057617,25.3700008392334,25.170000076293945,24.889999389648438,24.940000534057617,25.350000381469727
Adj Close,AFL,55.78181457519531,56.19935607910156,54.89701843261719,54.13152313232422,55.17538070678711,56.129764556884766,56.089996337890625,55.90999984741211,55.7599983215332,55.650001525878906
Adj Close,AKAM,110.80999755859375,111.2300033569336,111.16999816894531,111.30000305175781,111.04000091552734,113.16000366210938,113.48999786376953,112.73999786376953,112.94000244140625,113.47000122070312
